CompartmentName,LoggingRotation,Age_Before,Age_Latest,SR_per_compartment,shannon_per_compartment,simpson_per_compartment,order_0_at_90,order_1_at_90,order2_at_90,no_iNEXT,Herb_Mean,Leaflitter_Mean,Canopy_Mean,Water_Mean,NearPrimary
B10,twice,32,2,6,1.311332,0.646502836,6.914,3.916,2.891,NA,68.68421053,3.131578947,81.98611111,0.363636364,No
B12,once,NA,10,2,0.636514168,0.444444444,1.933,1.781,1.667,NA,66.25,3.313,89.75,0,No
B14,twice,36,10,1,0,0,NA,NA,NA,1,67.5,3.104166667,88.9375,0.166666667,No
B3,twice,36,10,4,0.793816952,0.4,3.204,2.048,1.625,NA,83.61111111,2.125,55.17647059,0.333333333,No
JI38B,twice,36,10,1,0,0,NA,NA,NA,1,81.57894737,2.355263158,70.84210526,0.181818182,No
JI39,twice,31,1,3,0.79631164,0.448979592,3.496,2.462,1.892,NA,77.72727273,3.333333333,81.35416667,0.5,No
JI40,twice,33,3,4,1.033562054,0.545454545,4.689,3.063,2.286,NA,68.125,2.895833333,75.55434783,0,No
JI42,twice,33,3,1,0,0,NA,NA,NA,1,84.16666667,3.041666667,83.58333333,0.166666667,No
JU31Y,once,NA,11,4,0.573516076,0.26611797,3.131,1.687,1.352,NA,62.04545455,2.909,83.125,0.091,Yes
JU68,twice,46,15,1,0,0,NA,NA,NA,1,64.76190476,3.535714286,88.51190476,0,Yes
JU93,once,NA,6,2,0.693147181,0.5,2.333,NA,3,NA,71.71875,3.32,81.2578125,0,No
PB87,once,NA,5,4,0.404509942,0.170798898,1.727,1.311,1.182,NA,81.55555556,3.022,78.85869565,0.333,No
PS52,once,NA,5,3,0.683738906,0.37037037,3.434,2.116,1.618,NA,71.66666667,3.188,92.16666667,0.111,Yes
UTT35,once,NA,2,2,0.636514168,0.444444444,1.933,1.781,1.667,NA,34.16666667,2.354166667,58.875,0.167,No
UTT41,once,NA,2,0,0,1,NA,NA,NA,NA,62,2.3,61.425,0,No