Compartment,Age of forest,LoggingRotation,Leaflitter1,Leaflitter2,Leaflitter3,Leaflitter4,Leaflitter5,Leaflitter6,Leaflitter7,Leaflitter8,Leaflitter9,Leaflitter10,Leaflitter11,CanopyClosure1,CanopyClosure2,CanopyClosure3,CanopyClosure4,CanopyClosure5,CanopyClosure6,CanopyClosure7,CanopyClosure8,CanopyClosure9,CanopyClosure10,CanopyClosure11,CanopyClosure12,HerbHeight1,HerbHeight2,HerbHeight3,HerbHeight4,HerbHeight5,HerbHeight6
PS52,5,1,2,1,2,2,2,2,3,NA,NA,NA,NA,100,100,46,100,50,100,87,100,NA,NA,NA,NA,60,50,70,50,NA,NA
PS52,5,1,3,2,2,6,2,4,6,NA,NA,NA,NA,100,100,100,100,71,100,100,58,NA,NA,NA,NA,50,40,80,70,NA,NA
PS52,5,1,3,3,2,4,3,3,3,NA,NA,NA,NA,100,100,96,96,96,100,87,100,NA,NA,NA,NA,30,110,40,90,NA,NA
PS52,5,1,7,4,3,4,4,4,3,NA,NA,NA,NA,100,100,100,96,100,96,100,100,NA,NA,NA,NA,70,50,80,120,NA,NA
PS52,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS52,5,1,5,4,3,2,3,2,2,NA,NA,NA,NA,92,87,96,83,100,96,87,96,NA,NA,NA,NA,70,150,140,50,NA,NA
PS52,5,1,3,4,4,5,4,2,4,NA,NA,NA,NA,96,92,79,79,83,100,83,96,NA,NA,NA,NA,50,70,50,80,NA,NA
PS52,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS52,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PB87,5,1,3,3,2,2,3,3,2,NA,NA,NA,NA,100,42,33,46,54,100,87,58,NA,NA,NA,NA,90,20,70,30,NA,NA
PB87,5,1,3,6,4,2,2,3,3,NA,NA,NA,NA,87,71,100,100,100,92,92,87,NA,NA,NA,NA,30,80,120,60,NA,NA
PB87,5,1,2,1,2,3,2,2,2,NA,NA,NA,NA,79,79,58,100,100,100,67,75,NA,NA,NA,NA,80,130,130,140,NA,NA
PB87,5,1,3,3,2,4,4,3,3,NA,NA,NA,NA,100,71,33,67,29,75,75,100,NA,NA,NA,NA,120,60,100,130,NA,NA
PB87,5,1,1,2,2,2,2,1,2,NA,NA,NA,NA,100,96,96,79,54,62,50,75,NA,NA,NA,NA,80,60,70,NA,NA,NA
PB87,5,1,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,92,92,46,100,NA,NA,NA,NA,NA,NA,NA,NA,40,120,NA,NA,NA,NA
PB87,5,1,4,3,3,3,3,3,3,NA,NA,NA,NA,100,75,79,92,96,92,96,71,NA,NA,NA,NA,50,40,60,120,NA,NA
PB87,5,1,4,2,3,3,3,4,6,NA,NA,NA,NA,100,100,100,100,100,100,100,100,NA,NA,NA,NA,150,70,90,120,NA,NA
PB87,5,1,3,2,3,4,5,3,2,NA,NA,NA,NA,100,100,87,79,67,42,96,92,NA,NA,NA,NA,80,60,30,80,NA,NA
PB87,5,1,3,5,5,4,4,3,4,NA,NA,NA,NA,100,100,75,100,50,100,96,75,NA,NA,NA,NA,40,50,30,40,NA,NA
PB87,5,1,3,4,4,2,2,3,4,NA,NA,NA,NA,79,96,100,62,50,100,96,42,NA,NA,NA,NA,10,150,80,150,NA,NA
PB87,5,1,3,2,3,6,5,3,4,NA,NA,NA,NA,8,4,8,21,96,92,71,71,NA,NA,NA,NA,150,150,70,40,NA,NA
UTT35,2,1,2,1,3,2,1,1,1,NA,NA,NA,NA,87,96,96,87,62,79,58,21,NA,NA,NA,NA,90,90,30,-40,NA,NA
UTT35,2,1,4,3,4,2,2,1,2,NA,NA,NA,NA,100,96,58,96,96,17,8,92,NA,NA,NA,NA,0,0,90,0,NA,NA
UTT35,2,1,2,2,2,3,1,3,3,NA,NA,NA,NA,100,75,92,83,100,87,25,12,NA,NA,NA,NA,0,10,30,50,NA,NA
UTT35,2,1,3,4,3,4,4,3,3,NA,NA,NA,NA,100,100,62,83,42,79,0,0,NA,NA,NA,NA,70,150,0,0,NA,NA
UTT35,2,1,3,1,4,2,2,2,3,NA,NA,NA,NA,87,79,50,8,62,83,46,21,NA,NA,NA,NA,40,140,0,0,NA,NA
UTT35,2,1,2,1,3,2,1,1,2,NA,NA,NA,NA,17,17,29,21,67,42,0,8,NA,NA,NA,NA,20,20,30,0,NA,NA
UTT41,2,1,1,1,3,2,3,1,2,NA,NA,NA,NA,67,17,0,0,29,71,100,75,NA,NA,NA,NA,50,30,30,20,NA,NA
UTT41,2,1,1,1,1,4,4,7,4,NA,NA,NA,NA,37,71,100,100,79,75,42,50,NA,NA,NA,NA,120,80,110,60,NA,NA
UTT41,2,1,2,5,0,1,2,0,0,NA,NA,NA,NA,25,67,96,75,100,100,100,100,NA,NA,NA,NA,60,50,30,20,NA,NA
UTT41,2,1,6,0,2,4,5,5,2,NA,NA,NA,NA,87,83,37,58,79,100,75,8,NA,NA,NA,NA,80,70,60,70,NA,NA
UTT41,2,1,2,2,1,2,2,1,3,NA,NA,NA,NA,83,92,8,0,87,46,21,17,NA,NA,NA,NA,120,80,70,30,NA,NA
JU31Y,11,1,3,2,3,3,3,2,3,NA,NA,NA,NA,96,87,87,79,92,96,100,100,NA,NA,NA,NA,90,130,40,20,NA,NA
JU31Y,11,1,3,2,2,2,3,2,4,NA,NA,NA,NA,100,54,100,100,87,83,62,96,NA,NA,NA,NA,150,40,120,110,NA,NA
JU31Y,11,1,4,3,2,3,2,3,1,NA,NA,NA,NA,83,92,100,100,100,87,92,83,NA,NA,NA,NA,60,90,40,70,NA,NA
JU31Y,11,1,4,3,3,2,2,3,2,NA,NA,NA,NA,58,67,71,92,50,0,0,71,NA,NA,NA,NA,70,40,50,130,NA,NA
JU31Y,11,1,2,2,2,3,5,3,2,NA,NA,NA,NA,100,100,100,100,100,100,75,83,NA,NA,NA,NA,40,40,20,90,NA,NA
JU31Y,11,1,5,4,3,1,2,1,1,NA,NA,NA,NA,100,96,96,87,62,92,92,96,NA,NA,NA,NA,60,40,50,60,NA,NA
JU31Y,11,1,9,6,5,6,8,5,5,NA,NA,NA,NA,87,100,100,100,92,100,100,67,NA,NA,NA,NA,30,60,40,30,NA,NA
JU31Y,11,1,2,2,3,3,3,1,2,NA,NA,NA,NA,92,100,62,75,100,100,100,83,NA,NA,NA,NA,40,50,50,20,NA,NA
JU31Y,11,1,3,3,3,3,4,3,2,NA,NA,NA,NA,54,67,100,100,96,100,79,87,NA,NA,NA,NA,100,100,50,40,NA,NA
JU31Y,11,1,2,3,2,3,2,3,3,NA,NA,NA,NA,17,92,0,71,58,92,50,100,NA,NA,NA,NA,60,50,60,90,NA,NA
JU31Y,11,1,3,2,1,3,2,2,2,NA,NA,NA,NA,100,96,0,100,100,83,75,96,NA,NA,NA,NA,70,30,50,60,NA,NA
JU93,6,1,2,3,3,3,3,3,2,NA,NA,NA,NA,79,62,92,100,100,100,87,100,NA,NA,NA,NA,120,120,120,50,NA,NA
JU93,6,1,4,4,4,4,3,1,2,NA,NA,NA,NA,96,100,87,71,100,100,92,87,NA,NA,NA,NA,80,80,50,60,NA,NA
JU93,6,1,2,4,4,2,1,2,2,NA,NA,NA,NA,92,96,96,100,71,79,96,100,NA,NA,NA,NA,50,50,30,10,NA,NA
JU93,6,1,3,4,2,3,4,4,1,NA,NA,NA,NA,100,79,92,92,75,100,33,100,NA,NA,NA,NA,80,30,60,30,NA,NA
JU93,6,1,4,2,2,2,3,1,1,NA,NA,NA,NA,100,100,100,83,100,96,92,96,NA,NA,NA,NA,100,50,70,70,NA,NA
JU93,6,1,4,2,5,2,2,1,3,NA,NA,NA,NA,100,75,83,96,96,100,62,96,NA,NA,NA,NA,130,120,150,30,NA,NA
JU93,6,1,6,8,7,6,4,4,3,NA,NA,NA,NA,100,100,100,92,83,92,87,92,NA,NA,NA,NA,60,70,90,150,NA,NA
JU93,6,1,6,4,4,2,3,4,3,NA,NA,NA,NA,100,37,0,75,92,71,92,100,NA,NA,NA,NA,80,0,90,100,NA,NA
JU93,6,1,2,3,2,3,3,2,1,NA,NA,NA,NA,79,50,50,50,87,0,33,50,NA,NA,NA,NA,110,110,130,40,NA,NA
JU93,6,1,3,2,1,3,1,1,3,NA,NA,NA,NA,100,75,92,92,100,71,100,58,NA,NA,NA,NA,70,120,70,60,NA,NA
JU93,6,1,1,2,1,8,4,2,5,NA,NA,NA,NA,37,79,100,100,87,0,37,62,NA,NA,NA,NA,40,80,120,120,NA,NA
B12,10,1,3,4,4,3,4,4,3,NA,NA,NA,NA,71,100,87,92,92,96,100,96,NA,NA,NA,NA,50,0,70,130,NA,NA
B12,10,1,3,4,3,3,3,3,4,NA,NA,NA,NA,96,87,92,87,87,100,79,92,NA,NA,NA,NA,50,50,50,60,NA,NA
B12,10,1,2,3,5,3,5,6,4,NA,NA,NA,NA,87,100,67,100,100,100,75,96,NA,NA,NA,NA,50,150,40,80,NA,NA
B12,10,1,3,4,3,5,6,3,3,NA,NA,NA,NA,100,87,87,96,87,71,96,100,NA,NA,NA,NA,20,20,100,70,NA,NA
B12,10,1,3,3,3,3,3,3,3,NA,NA,NA,NA,100,71,75,100,96,71,100,100,NA,NA,NA,NA,50,90,80,130,NA,NA
B12,10,1,1,3,2,2,2,3,2,NA,NA,NA,NA,100,92,83,100,100,92,100,25,NA,NA,NA,NA,30,60,50,110,NA,NA
JU93,6,1,3,5,4,4,4,2,3,NA,NA,NA,NA,8,50,100,54,58,71,71,62,NA,NA,NA,NA,30,100,60,50,NA,NA
JU93,6,1,6,5,2,1,2,2,2,NA,NA,NA,NA,96,92,83,83,100,79,71,96,NA,NA,NA,NA,60,10,70,50,NA,NA
JU93,6,1,8,5,4,5,6,6,6,NA,NA,NA,NA,96,96,83,75,54,100,25,50,NA,NA,NA,NA,90,60,50,20,NA,NA
JU93,6,1,3,4,4,3,5,4,2,NA,NA,NA,NA,100,100,58,92,92,92,92,75,NA,NA,NA,NA,50,80,120,30,NA,NA
JI4,23,1,5,4,3,4,6,3,3,5,5,3,4,87,71,75,83,100,100,96,96,100,100,100,75,50,0,40,150,80,130
JI4,23,1,5,3,4,3,2,2,3,1,3,1,2,100,100,100,100,96,100,92,100,100,96,92,83,80,150,10,40,30,120
JI4,23,1,4,1,2,3,5,1,3,3,1,2,2,100,100,100,100,100,100,100,100,100,100,100,100,150,150,20,40,0,150
JI4,23,1,5,3,3,4,2,1,2,3,3,6,4,100,100,100,100,100,100,83,92,92,83,71,100,130,150,110,80,40,150
JI4,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JI4,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JI52,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JI52,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JI52,20,1,3,2,2,2,2,3,3,NA,NA,NA,NA,71,62,67,71,67,62,62,96,NA,NA,NA,NA,40,140,110,30,NA,NA
JI52,20,1,3,6,7,2,3,3,3,NA,NA,NA,NA,100,100,100,100,100,100,100,100,NA,NA,NA,NA,110,70,40,40,NA,NA
JI52,20,1,2,3,2,3,3,3,2,NA,NA,NA,NA,100,83,96,87,100,75,100,100,NA,NA,NA,NA,140,110,60,40,NA,NA
JI4,23,1,3,4,2,2,2,1,1,NA,NA,NA,NA,100,96,100,96,96,96,92,100,NA,NA,NA,NA,90,60,70,80,NA,NA
JI4,23,1,3,3,3,2,2,3,2,NA,NA,NA,NA,96,67,96,87,87,83,96,96,NA,NA,NA,NA,120,100,80,80,NA,NA
JI4,23,1,5,3,3,2,2,2,2,NA,NA,NA,NA,100,96,100,92,100,100,96,100,NA,NA,NA,NA,80,100,140,120,NA,NA
JI4,23,1,3,3,3,3,2,3,3,NA,NA,NA,NA,100,83,96,75,100,25,75,100,NA,NA,NA,NA,110,140,140,70,NA,NA
JI4,23,1,5,2,2,2,2,3,4,NA,NA,NA,NA,96,21,62,50,100,100,37,83,NA,NA,NA,NA,70,100,60,140,NA,NA
B17,24,1,11,5,6,4,2,2,2,NA,NA,NA,NA,25,75,92,96,100,87,87,92,NA,NA,NA,NA,150,110,60,80,NA,NA
B17,24,1,3,2,8,4,3,4,3,NA,NA,NA,NA,0,87,33,17,83,100,75,83,NA,NA,NA,NA,80,130,150,130,NA,NA
B17,24,1,3,3,2,3,4,1,3,NA,NA,NA,NA,92,67,92,33,71,87,79,96,NA,NA,NA,NA,110,100,130,150,NA,NA
B17,24,1,2,1,1,9,2,2,8,NA,NA,NA,NA,83,96,100,96,96,87,92,75,NA,NA,NA,NA,70,0,50,140,NA,NA
B17,24,1,8,0,3,7,4,4,3,NA,NA,NA,NA,87,42,71,37,46,54,67,62,NA,NA,NA,NA,40,140,150,100,NA,NA
B17,24,1,1,3,2,4,1,2,3,NA,NA,NA,NA,71,92,25,25,62,100,79,92,NA,NA,NA,NA,150,90,60,20,NA,NA
B17,24,1,1,2,1,5,2,1,1,NA,NA,NA,NA,100,92,100,96,96,100,100,87,NA,NA,NA,NA,110,50,40,30,NA,NA
B17,24,1,2,3,0,5,3,3,2,NA,NA,NA,NA,83,87,75,100,71,100,100,100,NA,NA,NA,NA,130,130,50,20,NA,NA
B17,24,1,5,1,4,3,2,3,4,NA,NA,NA,NA,92,67,71,92,100,83,96,67,NA,NA,NA,NA,10,110,130,50,NA,NA
B17,24,1,3,6,5,5,7,2,2,NA,NA,NA,NA,92,100,42,92,87,83,96,50,NA,NA,NA,NA,100,0,70,20,NA,NA
B17,24,1,2,3,1,3,3,2,3,NA,NA,NA,NA,87,62,96,100,83,87,100,75,NA,NA,NA,NA,50,30,80,20,NA,NA
B17,24,1,3,7,4,4,5,4,2,NA,NA,NA,NA,100,100,100,100,100,100,100,100,NA,NA,NA,NA,40,150,110,140,NA,NA
B17,24,1,3,3,2,3,3,2,3,NA,NA,NA,NA,100,100,100,100,100,100,100,100,NA,NA,NA,NA,60,80,80,40,NA,NA
B17,24,1,3,3,3,4,3,4,3,NA,NA,NA,NA,100,100,100,100,100,100,100,100,NA,NA,NA,NA,70,40,100,80,NA,NA
B17,24,1,6,3,4,2,4,5,2,NA,NA,NA,NA,100,100,100,100,100,100,100,100,NA,NA,NA,NA,30,60,90,90,NA,NA
B17,24,1,3,2,3,6,4,4,6,NA,NA,NA,NA,96,100,100,100,100,100,100,100,NA,NA,NA,NA,40,70,110,40,NA,NA
B17,24,1,5,3,3,3,2,2,3,NA,NA,NA,NA,100,100,100,100,100,100,100,100,NA,NA,NA,NA,120,50,40,20,NA,NA
BT7,32,1,3,5,3,3,2,2,4,0,5,2,5,96,96,92,100,100,87,87,96,100,100,96,96,60,30,110,130,150,150
BT7,32,1,5,8,5,8,6,6,5,6,6,2,4,100,96,100,100,92,100,100,100,92,100,100,100,0,120,70,0,70,40
BT7,32,1,2,2,4,4,4,5,2,3,3,5,5,100,92,100,92,100,96,100,83,87,100,100,87,150,150,100,130,110,150
BT7,32,1,2,3,2,3,3,3,3,2,3,2,4,NA,NA,NA,NA,96,92,100,79,100,87,75,100,80,80,120,110,110,100
JU31N,41,1,1,2,2,3,6,3,5,NA,NA,NA,NA,87,87,100,92,92,96,54,71,NA,NA,NA,NA,50,30,100,50,NA,NA
JU31N,41,1,3,1,1,2,2,2,3,NA,NA,NA,NA,96,96,62,67,96,100,96,100,NA,NA,NA,NA,60,150,80,70,NA,NA
JU31N,41,1,3,6,4,3,2,1,3,NA,NA,NA,NA,100,100,83,25,100,96,79,92,NA,NA,NA,NA,80,0,50,10,NA,NA
JU31N,41,1,3,3,3,3,3,4,2,NA,NA,NA,NA,100,92,100,96,83,100,96,96,NA,NA,NA,NA,30,40,30,60,NA,NA
JU31N,41,1,2,2,2,4,3,3,3,NA,NA,NA,NA,92,100,96,100,100,100,100,100,NA,NA,NA,NA,80,30,60,40,NA,NA
JU31N,41,1,2,3,2,3,3,3,4,NA,NA,NA,NA,96,92,83,96,87,92,96,100,NA,NA,NA,NA,110,40,70,150,NA,NA
JU31N,41,1,1,2,3,6,4,5,4,NA,NA,NA,NA,58,100,83,100,100,100,83,92,NA,NA,NA,NA,130,110,60,40,NA,NA
JU31N,41,1,2,3,2,2,2,1,1,NA,NA,NA,NA,92,92,83,83,92,92,67,71,NA,NA,NA,NA,90,110,50,60,NA,NA
JU31N,41,1,4,3,3,3,2,3,3,NA,NA,NA,NA,100,83,92,83,67,54,87,46,NA,NA,NA,NA,60,40,40,60,NA,NA
JU31N,41,1,4,2,2,3,2,2,1,NA,NA,NA,NA,100,100,100,71,50,29,96,79,NA,NA,NA,NA,40,30,50,80,NA,NA
